method,t,median,q1,q3,coverage
rime,3.192659228632032,25.081833060556466,12.632072393058142,34.16077289497912,1.0
rime,3.802208928134209,24.590834697217677,12.028377005171865,33.92779091350494,1.0
rime,4.528135230823811,24.386252045826513,11.423492970405084,33.59753207991774,1.0
rime,5.3926570202151884,23.243045387994144,10.730980741736001,32.882983924380135,1.0
rime,6.422235259167707,22.5,9.96293257885036,32.36359513045059,1.0
rime,7.648382897240333,21.666666666666668,9.48866846800044,31.87286956470145,1.0
rime,9.108629407384788,20.55449330783939,9.167570122797027,31.090140095744125,1.0
rime,10.847669474159156,20.076481835564053,8.987877426119706,30.909124171682798,1.0
rime,12.91873099208564,19.694072657743785,8.732428877581077,30.497003344153455,1.0
rime,15.385204245339567,18.977055449330784,8.169016677331221,30.057018490538887,1.0
rime,18.322582134098628,18.40344168260038,7.640488021653941,29.82835995395352,1.0
rime,21.82077083328191,18.260038240917783,7.227341320149677,29.130770037093185,1.0
rime,25.98684160746592,17.26618705035971,7.1792500567081365,28.741726023454923,1.0
rime,30.948308008510093,16.18705035971223,7.095169339219346,28.519250485646445,1.0
rime,36.85702876314293,15.827338129496402,6.756901353596371,28.111172566371682,1.0
rime,43.89385580864722,14.74820143884892,6.360176427425273,27.923096985394633,1.0
rime,52.27416974200008,14.388489208633093,5.988070183926397,27.142320220496117,1.0
rime,62.25447210944526,14.028776978417266,5.694697351755679,26.99050187617261,1.0
rime,74.14023631085618,13.333333333333334,5.189062472038797,26.008638211382113,1.0
rime,88.29525741646478,13.333333333333334,5.03441802252816,25.49326110560355,1.0
rime,105.1527870716838,13.333333333333334,4.9338624338624335,24.941078931218428,1.0
rime,125.2287943030676,12.5,4.846696288436457,24.769154510692537,1.0
rime,149.137758107251,11.666666666666666,4.391981007649696,24.44315606854553,1.0
rime,177.61147519657962,11.666666666666666,4.333586499116947,24.325490959731862,1.0
rime,211.52145856195136,11.666666666666666,4.306436530265749,23.945410234622102,1.0
rime,251.90561241978202,10.702341137123746,4.089542982539834,23.60147287919558,1.0
rime,300.0000000000001,10.702341137123746,4.085331532140042,23.44969342251951,1.0
sa,0.01,20.0836820083682,8.17809542630042,26.669680530440026,1.0
sa,0.01190922255039211,20.0836820083682,8.17809542630042,26.669680530440026,1.0
sa,0.014182958175476787,20.0836820083682,8.17809542630042,26.669680530440026,1.0
sa,0.016890800533465627,20.0836820083682,8.17809542630042,26.48150848742927,1.0
sa,0.020115630260732383,19.868637110016422,8.17809542630042,25.988948308504742,1.0
sa,0.0239561517516464,19.321766561514195,8.17809542630042,25.4354590456572,1.0
sa,0.028529914266132276,19.321766561514195,8.17809542630042,25.06156571808216,1.0
sa,0.03397690983389759,19.321766561514195,8.17809542630042,24.43857871338912,1.0
sa,0.04046385807864926,19.321766561514195,8.17809542630042,23.923188872252,1.0
sa,0.04818930911061157,19.230769230769234,8.17809542630042,23.923188872252,1.0
sa,0.05738972067479109,19.230769230769234,8.17809542630042,23.923188872252,1.0
sa,0.06834669556209264,19.006309148264982,8.17809542630042,23.908664284928648,1.0
sa,0.0813956008032858,18.138801261829656,8.17809542630042,23.908664284928648,1.0
sa,0.09693583245892048,18.134715025906736,7.692349812265332,23.756592009705294,1.0
sa,0.11544304018608072,18.134715025906736,7.692349812265332,23.533598947267237,1.0
sa,0.13748368574698944,17.960199004975124,7.692349812265332,23.455964325529543,1.0
sa,0.16373238106090687,17.642956764295675,7.692349812265332,23.455964325529543,1.0
sa,0.19499253647599463,17.642956764295675,7.683125662778367,23.455964325529543,1.0
sa,0.232220951255807,17.433155080213904,7.5625,23.18407960199005,1.0
sa,0.2765570989369163,16.844919786096256,7.5625,22.930561627011386,1.0
sa,0.3293580039130544,14.994363021420519,7.5625,22.71378669592135,1.0
sa,0.39223977673534804,14.388489208633093,7.416936790923826,22.148893629517033,1.0
sa,0.46712707942573733,14.388489208633093,7.092787682333874,22.11477388211382,1.0
sa,0.5563120348195794,14.06417112299465,6.749392482291505,22.11477388211382,1.0
sa,0.6625243830127855,13.28358208955224,5.971177944862156,21.730522770624702,1.0
sa,0.7890150322360485,11.990049751243781,5.119047619047619,20.71879098116357,1.0
sa,0.9396555614503901,11.694729136163982,4.748622359056734,20.178807400066074,1.0
sa,1.1190567202026338,10.0,4.285893035893036,19.47985197368421,1.0
sa,1.3327095527405048,9.773371104815864,4.285893035893036,19.349643640350877,1.0
sa,1.5871534658620194,9.773371104815864,4.153617903617904,19.26450742240216,1.0
